Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,-2,0,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-39,39.0,Male,Laboratory Technician,Single,No,Y,3.0,-2.0,0.0,33.0,1.0,924.0,2.0,Bachelor's Degree,1.0,3.0,78.0,3.0,1.0,4.0,2496.0,6670.0,4.0,11.0,3.0,4.0,80.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-40,40.0,Male,Healthcare Representative,Married,Yes,Y,5.0,-2.0,0.0,44.0,1.0,1459.0,10.0,Master's Degree,1.0,4.0,41.0,3.0,2.0,4.0,6465.0,19121.0,2.0,13.0,3.0,4.0,80.0,0.0,9.0,4.0,4.0,2.0,1.0,3.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-41,41.0,Male,Laboratory Technician,Single,No,Y,5.0,-2.0,0.0,30.0,1.0,125.0,9.0,Associates Degree,1.0,4.0,83.0,2.0,1.0,3.0,2206.0,16117.0,1.0,13.0,3.0,1.0,80.0,0.0,10.0,3.0,10.0,0.0,1.0,8.0
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Technical Degree,STAFF-42,42.0,Male,Sales Representative,Married,No,Y,6.0,-2.0,0.0,39.0,0.0,895.0,5.0,Bachelor's Degree,1.0,4.0,56.0,3.0,2.0,4.0,2086.0,3335.0,3.0,14.0,3.0,3.0,80.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0
Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Medical,STAFF-45,45.0,Male,Research Scientist,Married,Yes,Y,2.0,-2.0,0.0,24.0,0.0,813.0,1.0,Bachelor's Degree,1.0,2.0,61.0,3.0,1.0,4.0,2293.0,3020.0,2.0,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-46,46.0,Female,,Divorced,No,Y,3.0,-2.0,0.0,43.0,1.0,1273.0,2.0,Associates Degree,1.0,4.0,72.0,4.0,1.0,3.0,2645.0,21923.0,1.0,12.0,3.0,4.0,80.0,2.0,6.0,2.0,5.0,3.0,1.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Marketing,STAFF-47,47.0,Male,Sales Representative,Married,Yes,Y,2.0,-2.0,0.0,50.0,0.0,869.0,3.0,Associates Degree,1.0,1.0,86.0,2.0,1.0,3.0,2683.0,3810.0,1.0,14.0,3.0,3.0,80.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-49,49.0,Female,Sales Representative,Married,No,Y,3.0,-2.0,0.0,35.0,1.0,890.0,2.0,Bachelor's Degree,1.0,4.0,97.0,3.0,1.0,4.0,2014.0,9687.0,1.0,13.0,3.0,1.0,80.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-51,51.0,Female,Research Scientist,Married,Yes,Y,3.0,-2.0,0.0,36.0,1.0,852.0,5.0,Master's Degree,1.0,2.0,82.0,2.0,1.0,1.0,3419.0,13072.0,9.0,14.0,3.0,4.0,80.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0
No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,STAFF-52,52.0,Female,Sales Executive,Married,No,Y,3.0,-2.0,0.0,33.0,1.0,1141.0,1.0,Bachelor's Degree,1.0,3.0,42.0,4.0,2.0,1.0,5376.0,3193.0,2.0,19.0,3.0,1.0,80.0,2.0,10.0,3.0,5.0,3.0,1.0,3.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-53,53.0,Male,Laboratory Technician,Divorced,No,Y,3.0,-2.0,0.0,35.0,1.0,464.0,4.0,Associates Degree,1.0,3.0,75.0,3.0,1.0,4.0,1951.0,10910.0,1.0,12.0,3.0,3.0,80.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-54,54.0,Female,Laboratory Technician,Divorced,No,Y,6.0,-2.0,0.0,27.0,1.0,1240.0,2.0,Master's Degree,1.0,4.0,33.0,3.0,1.0,1.0,2341.0,19715.0,1.0,13.0,3.0,4.0,80.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-55,55.0,Male,Laboratory Technician,Single,No,Y,2.0,-2.0,0.0,26.0,0.0,1357.0,25.0,Bachelor's Degree,1.0,1.0,48.0,1.0,1.0,3.0,2293.0,10558.0,1.0,12.0,3.0,3.0,80.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0
No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,STAFF-56,56.0,Male,Sales Executive,Single,No,Y,0.0,-2.0,0.0,27.0,1.0,994.0,8.0,Bachelor's Degree,1.0,4.0,37.0,3.0,3.0,3.0,8726.0,2975.0,1.0,15.0,3.0,4.0,80.0,0.0,9.0,3.0,9.0,8.0,1.0,7.0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Medical,STAFF-57,57.0,Female,Laboratory Technician,Single,No,Y,2.0,-2.0,0.0,30.0,1.0,721.0,1.0,Associates Degree,1.0,3.0,58.0,3.0,2.0,4.0,4011.0,10781.0,1.0,23.0,4.0,4.0,80.0,0.0,12.0,3.0,12.0,8.0,3.0,7.0
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Technical Degree,STAFF-58,58.0,Female,Research Director,Married,No,Y,0.0,-2.0,0.0,41.0,0.0,1360.0,12.0,Bachelor's Degree,1.0,2.0,49.0,3.0,5.0,3.0,19545.0,16280.0,1.0,12.0,3.0,4.0,80.0,0.0,23.0,3.0,22.0,15.0,15.0,8.0
No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,STAFF-60,60.0,Male,Sales Executive,Single,No,Y,,-2.0,0.0,34.0,1.0,1065.0,23.0,Master's Degree,1.0,2.0,72.0,3.0,2.0,3.0,4568.0,10034.0,0.0,20.0,4.0,3.0,80.0,0.0,10.0,3.0,9.0,5.0,8.0,7.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-61,61.0,Male,Research Scientist,Married,No,Y,1.0,-2.0,0.0,37.0,1.0,408.0,19.0,Associates Degree,1.0,2.0,73.0,3.0,1.0,2.0,3022.0,10227.0,4.0,21.0,4.0,1.0,80.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0
No,Travel_Frequently,45 - 54,Current Employees,Sales,Marketing,STAFF-62,62.0,Male,Sales Executive,Single,Yes,Y,4.0,-2.0,0.0,46.0,1.0,1211.0,5.0,Master's Degree,1.0,1.0,98.0,3.0,2.0,4.0,5772.0,20445.0,4.0,21.0,4.0,3.0,80.0,0.0,14.0,3.0,9.0,6.0,0.0,8.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-63,63.0,Male,Laboratory Technician,Married,No,Y,2.0,-2.0,0.0,35.0,1.0,1229.0,8.0,High School,1.0,4.0,36.0,4.0,1.0,4.0,2269.0,4892.0,1.0,19.0,3.0,4.0,80.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0
Yes,Travel_Rarely,45 - 54,Ex-Employees,R&D,Life Sciences,STAFF-64,64.0,Male,Laboratory Technician,Single,Yes,Y,2.0,-2.0,0.0,48.0,0.0,626.0,1.0,Associates Degree,1.0,1.0,98.0,2.0,3.0,3.0,5381.0,19294.0,9.0,13.0,3.0,4.0,80.0,0.0,23.0,3.0,1.0,0.0,0.0,0.0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-65,65.0,Male,Laboratory Technician,Single,Yes,Y,3.0,-2.0,0.0,28.0,0.0,1434.0,5.0,Master's Degree,1.0,3.0,50.0,3.0,1.0,3.0,3441.0,11179.0,1.0,13.0,3.0,3.0,80.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-68,68.0,Female,Sales Executive,Divorced,Yes,Y,2.0,-2.0,0.0,44.0,1.0,1488.0,1.0,Doctoral Degree,1.0,2.0,75.0,3.0,2.0,1.0,5454.0,4009.0,5.0,21.0,4.0,3.0,80.0,1.0,9.0,2.0,4.0,3.0,1.0,3.0
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-70,70.0,Male,Healthcare Representative,Married,Yes,Y,3.0,-2.0,0.0,35.0,1.0,1097.0,11.0,Associates Degree,1.0,3.0,79.0,2.0,3.0,1.0,9884.0,8302.0,2.0,13.0,3.0,3.0,80.0,1.0,10.0,3.0,4.0,0.0,2.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-72,72.0,Female,Sales Executive,Married,Yes,Y,2.0,-2.0,0.0,26.0,1.0,1443.0,23.0,Bachelor's Degree,1.0,3.0,47.0,2.0,2.0,4.0,4157.0,21436.0,7.0,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,0.0,0.0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-73,73.0,Female,Research Director,Single,Yes,Y,1.0,-2.0,0.0,33.0,1.0,515.0,1.0,Associates Degree,1.0,1.0,98.0,3.0,3.0,4.0,13458.0,15146.0,1.0,12.0,3.0,3.0,80.0,0.0,15.0,3.0,15.0,14.0,8.0,12.0
No,Travel_Frequently,35 - 44,Current Employees,Sales,Life Sciences,STAFF-74,74.0,Male,Sales Executive,Married,No,Y,3.0,-2.0,0.0,35.0,1.0,853.0,18.0,Doctoral Degree,1.0,2.0,71.0,3.0,3.0,1.0,9069.0,11031.0,1.0,22.0,4.0,4.0,80.0,1.0,9.0,2.0,9.0,8.0,1.0,8.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-75,75.0,Female,Laboratory Technician,Married,Yes,Y,3.0,-2.0,0.0,35.0,1.0,1142.0,23.0,Master's Degree,1.0,3.0,30.0,3.0,1.0,1.0,4014.0,16002.0,3.0,15.0,3.0,3.0,80.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-76,76.0,Male,Laboratory Technician,Divorced,No,Y,3.0,-2.0,0.0,31.0,1.0,655.0,7.0,Master's Degree,1.0,4.0,48.0,3.0,2.0,4.0,5915.0,9528.0,3.0,22.0,4.0,4.0,80.0,1.0,10.0,2.0,7.0,7.0,1.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-77,77.0,Male,Manufacturing Director,Divorced,No,Y,2.0,-2.0,0.0,37.0,1.0,1115.0,1.0,Master's Degree,1.0,1.0,51.0,2.0,2.0,3.0,5993.0,2689.0,1.0,18.0,3.0,3.0,80.0,1.0,7.0,4.0,7.0,5.0,0.0,7.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-78,78.0,Male,Manufacturing Director,Married,Yes,Y,3.0,-2.0,0.0,32.0,1.0,427.0,1.0,Bachelor's Degree,1.0,1.0,33.0,3.0,2.0,4.0,6162.0,10877.0,1.0,22.0,4.0,2.0,80.0,1.0,9.0,3.0,9.0,8.0,7.0,8.0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-79,79.0,Female,Laboratory Technician,Single,No,Y,2.0,-2.0,0.0,38.0,1.0,653.0,29.0,Doctoral Degree,1.0,4.0,50.0,3.0,2.0,4.0,2406.0,5456.0,1.0,11.0,3.0,4.0,80.0,0.0,10.0,3.0,10.0,3.0,9.0,9.0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-80,80.0,Female,Research Director,Divorced,Yes,Y,2.0,-2.0,0.0,50.0,1.0,989.0,7.0,Associates Degree,1.0,2.0,43.0,2.0,5.0,3.0,18740.0,16701.0,5.0,12.0,3.0,4.0,80.0,1.0,29.0,2.0,27.0,3.0,13.0,8.0
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-81,81.0,Female,Sales Executive,Single,No,Y,3.0,-2.0,0.0,59.0,1.0,1435.0,25.0,Bachelor's Degree,1.0,1.0,99.0,3.0,3.0,1.0,7637.0,2354.0,7.0,11.0,3.0,4.0,80.0,0.0,28.0,2.0,21.0,16.0,7.0,9.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-83,83.0,Female,Healthcare Representative,Divorced,No,Y,2.0,-2.0,0.0,36.0,1.0,1223.0,8.0,Bachelor's Degree,1.0,3.0,59.0,3.0,3.0,3.0,10096.0,8202.0,1.0,13.0,3.0,2.0,80.0,3.0,17.0,3.0,17.0,14.0,12.0,8.0
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-84,84.0,Female,Manager,Divorced,Yes,Y,2.0,-2.0,0.0,55.0,1.0,836.0,8.0,Bachelor's Degree,1.0,4.0,33.0,3.0,4.0,3.0,14756.0,19730.0,2.0,14.0,3.0,3.0,80.0,3.0,21.0,3.0,5.0,0.0,0.0,2.0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-85,85.0,Male,Manufacturing Director,Single,No,Y,3.0,-2.0,0.0,36.0,1.0,1195.0,11.0,Bachelor's Degree,1.0,2.0,95.0,2.0,2.0,2.0,6499.0,22656.0,1.0,13.0,3.0,3.0,80.0,0.0,6.0,3.0,6.0,5.0,0.0,3.0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-86,86.0,Male,Research Scientist,Divorced,No,Y,2.0,-2.0,0.0,45.0,1.0,1339.0,7.0,Bachelor's Degree,1.0,2.0,59.0,3.0,3.0,1.0,9724.0,18787.0,2.0,17.0,3.0,3.0,80.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-88,88.0,Male,Research Scientist,Married,No,Y,2.0,-2.0,0.0,35.0,1.0,664.0,1.0,Bachelor's Degree,1.0,2.0,79.0,3.0,1.0,,2194.0,5868.0,4.0,13.0,3.0,4.0,80.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Medical,STAFF-90,90.0,Male,Research Scientist,Married,Yes,Y,0.0,-2.0,0.0,36.0,0.0,318.0,9.0,Bachelor's Degree,1.0,4.0,79.0,2.0,1.0,3.0,3388.0,21777.0,0.0,17.0,3.0,1.0,80.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,STAFF-91,91.0,Female,Sales Executive,Single,No,Y,2.0,-2.0,0.0,59.0,1.0,1225.0,1.0,High School,1.0,1.0,57.0,2.0,2.0,3.0,5473.0,24668.0,7.0,11.0,3.0,4.0,80.0,0.0,20.0,2.0,4.0,3.0,1.0,3.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-94,94.0,Male,Research Scientist,Married,No,Y,3.0,-2.0,0.0,29.0,1.0,1328.0,2.0,Bachelor's Degree,1.0,3.0,76.0,3.0,1.0,2.0,2703.0,4956.0,0.0,23.0,4.0,4.0,80.0,1.0,6.0,3.0,5.0,4.0,0.0,4.0
